wave,urban,hhsize,head_gender,s2_q10_mktcentre,s2_q19_floormat,s2_q20_wallmat,s2_q21a_powergrid,ownasset_0,ownasset_1,ownasset_2,ownasset_3,ownasset_4,s3_q5a_attendchurch,s3_q7_visitother,s53_q6_hunger,s53_q6_staple,s5_q38_worryfood,s5_q42a_meat,s5_q42b_eggs,s5_q2_receivedfood,s5_q4_rent,s7_q2_sendgift,s9_q4_hospitalvisit,s9_q11_medsoutstock,s2_q15b_schoolchildren,s2_q15c_youngchildren,s2_q21_noadults,s2_q23_anyphone,s2_q24_numchild,s2_q2_age,s4_q12_num_ent,s5_q1,s5_q39a_hungryadult,s5_q39b_hungrychild,s5_q3a_food,s5_q3b_personal,s5_q3c_durables,s5_q3d_services,s5_q3e_comms,s5_q3f_housing,s5_q3g_utilities,s5_q3h_transport,s5_q3i_medical,s5_q40a_skippedadult,s5_q40b_skippedchild,s5_q41a_nofoodadult,s5_q41b_nofoodchild,sum_s4_q19_earnings,sum_s4_q19_laidoff,sum_s4_q20_profits,sum_s4_q20_salestrend,sum_s4_q20c_survive,s7_q1_receivegifthh,s4_q1_agactivity
2,0,6,1,-1,3,-1,0,0,0,1,1,0,2,0,0,1,1,0,1,0,0,0,0,2,0.571428571,0,0,1,0.571428571,25,0,1400,7,0,800,1200,3000,0,800,0,450,300,0,7,7,0,0,0,0,0,0,0,0,0
2,0,2,0,0,2,-1,1,0,1,0,0,0,2,1,1,1,1,0,0,0,1,0,0,2,0.333333333,0,0,1,0.333333333,19,0,0,1,1,1000,0,0,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,3,0,-1,3,-1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.25,0,0,1,0.25,40,0,2000,4,2,1500,400,0,3000,450,450,0,600,6000,1,2,0,0,0,0,0,0,0,0,0
2,0,1,0,1,3,-1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,45,0,1000,4,7,1300,380,290,0,250,4000,0,500,0,7,7,0,0,0,0,0,0,0,0,0
2,0,4,0,0,2,-1,1,0,1,1,1,0,2,1,1,1,1,0,0,0,1,0,0,-1,0.4,0.2,0,1,0.4,26,0,0,2,2,2100,0,0,0,50,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,0,1,2,-1,1,0,0,1,0,0,3,0,1,1,1,0,0,0,1,0,1,1,0,0.333333333,0,2,0,32,0,0,0,0,400,150,0,0,50,0,100,0,1200,7,0,0,0,0,0,0,0,0,0,0
2,0,14,1,-1,-1,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4,0.066666667,2,1,0.4,46,0,99,0,0,99,99,99,99,99,99,99,99,99,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,-1,3,-1,0,0,0,1,1,0,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,25,0,0,0,0,350,0,0,100,50,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2,0,-1,0,0,2,-1,1,0,0,1,1,0,3,0,1,1,1,0,0,0,0,0,0,1,-1,-1,0,5,-1,24,1,0,0,0,4500,500,0,200,600,0,1000,300,0,0,0,0,0,8000,0,3500,10000,1,0,0
2,1,4,1,1,2,-1,1,0,1,1,1,1,3,0,0,0,1,0,1,0,1,0,0,1,0.2,0,1,2,0.2,49,0,2000,4,3,1000,0,1000,0,300,1500,600,500,2000,3,3,3,0,0,0,0,0,0,0,0
2,0,1,0,-1,3,-1,0,0,1,1,1,0,2,1,1,0,1,0,1,0,0,0,0,-1,0,0,0,2,0,26,0,0,0,0,800,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,7,0,-1,8,-1,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0.375,0.375,0,1,0.375,35,0,0,0,0,250,50,0,80,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,5,0,0,2,-1,1,0,1,1,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0.5,0.166666667,0,1,0.5,37,0,0,1,0,150,0,20,50,20,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0
2,0,8,0,-1,3,-1,0,1,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,1,0.666666667,0,0,1,0.666666667,25,0,0,0,0,500,200,0,100,150,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,7,0,-1,3,-1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.5,0.125,0,1,0.5,29,1,2000,0,0,500,200,100,200,50,0,0,200,0,0,0,0,0,4200,0,2100,4000,2,0,0
2,0,3,0,-1,2,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,1,1,0,32,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,-1,3,-1,0,0,0,1,1,0,3,0,1,1,1,0,0,0,0,0,0,1,0.666666667,0,0,1,0.666666667,31,0,99,1,0,99,99,99,99,99,0,0,99,99,1,0,1,0,0,0,0,0,0,0,0
2,0,11,1,-1,3,-1,1,0,0,1,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0.666666667,0.083333333,0,1,0.666666667,40,0,0,0,0,600,200,0,100,100,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,0,1,2,-1,1,0,1,1,1,0,3,0,0,0,1,0,1,0,1,0,0,1,0.25,0.25,0,1,0.25,23,-1,0,0,0,1000,200,0,50,100,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,-1,3,-1,0,1,0,0,0,0,2,1,-1,1,1,0,0,0,0,0,1,2,0,0,0,1,0,24,0,0,0,0,1650,0,0,0,50,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
2,0,3,0,0,0,-1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,-1,0.25,0,0,1,0.25,29,-1,0,0,0,600,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,7,0,1,2,-1,1,0,0,1,1,0,2,1,1,1,1,0,0,0,1,0,1,2,0.5,0,0,2,0.5,48,-1,0,0,0,1800,0,0,0,1000,10000,100,0,0,0,0,0,0,0,0,0,0,2,0,0
2,0,4,0,0,2,-1,1,0,0,1,1,0,2,0,1,0,1,0,0,0,1,0,0,1,0.2,0.2,1,2,0.2,28,-1,0,0,0,1000,200,0,0,150,0,0,500,0,5,0,0,0,0,0,0,32000,0,0,0
2,0,12,0,0,3,-1,1,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0,0,1,0.538461538,0.076923077,1,1,0.538461538,35,0,0,0,0,1000,500,0,250,200,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,1,2,-1,1,0,1,1,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,19,0,0,0,0,200,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,5,1,1,3,-1,0,0,1,1,1,0,2,1,1,0,0,0,1,0,1,0,0,1,0.5,0,1,1,0.5,35,0,3000,4,4,1000,500,600,450,100,2000,500,310,0,2,3,0,0,0,0,0,0,0,0,0
2,1,1,1,1,2,-1,1,0,1,1,1,0,3,1,1,0,1,0,1,0,1,0,0,1,0,0,0,2,0,27,-1,0,3,0,1200,0,0,0,200,8000,100,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,3,0,1,2,-1,1,0,0,1,1,0,3,0,1,0,1,0,0,0,1,0,0,1,0.25,0.25,0,3,0.25,32,1,0,0,0,600,0,0,150,100,0,100,400,0,7,3,0,0,0,0,0,0,7,0,0
2,0,6,0,-1,3,-1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0.285714286,0.428571429,0,1,0.285714286,34,-1,0,1,1,8,0,0,0,50,0,0,50,0,2,1,1,1,28000,0,7000,30000,0,0,0
2,1,4,0,1,2,-1,1,0,1,1,1,0,2,1,1,0,0,0,0,0,1,0,0,1,0.4,0,0,1,0.4,27,-1,0,0,0,2000,300,0,0,150,10000,200,0,0,0,0,0,0,16800,3,10000,70000,1,0,0
2,0,4,1,0,2,-1,1,0,1,1,1,0,3,1,1,0,1,1,0,0,1,0,0,-1,0,0.6,1,1,0,22,0,0,0,0,2100,200,0,0,20,4500,100,0,0,2,1,0,0,0,0,0,0,0,0,0
2,0,-1,1,1,0,-1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0,1,-1,-1,0,2,-1,38,0,0,0,0,2000,200,0,250,50,0,0,150,100,0,0,0,0,0,0,0,0,0,0,0
2,1,3,0,1,2,-1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.5,0,2,0,35,-1,0,0,0,1500,0,0,180,50,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
